title,year,certificate,duration,gross,country,director,genre,ratings
Metropolis,1927,Not Rated,2h 33m,"$1,349,711 ",Germany,Fritz Lang,Drama,8.2
Die Hard,1988,R,2h 12m,"$141,603,197 ",United States,John McTiernan,Action,8.2
L.A. Confidential,1997,R,2h 18m,"$126,216,940 ",United States,Curtis Hanson,Crime,8.2
Taxi Driver,1976,R,1h 54m,"$28,573,323 ",United States,Martin Scorsese,Crime,8.2
Indiana Jones and the Last Crusade,1989,PG-13,2h 7m,"$474,171,806 ",United States,Steven Spielberg,Action,8.2
Snatch,2000,R,1h 42m,"$83,557,872 ",United Kingdom,Guy Ritchie,Comedy,8.2
Bicycle Thieves,1948,Not Rated,1h 29m,"$436,655 ",Italy,Vittorio De Sica,Drama,8.2
Like Stars on Earth,2007,PG,2h 45m,,India,Aamir Khan,Drama,8.2
1917,2019,R,1h 59m,"$384,577,421 ",United Kingdom,Sam Mendes,Action,8.2
Top Gun: Maverick,2022,PG-13,2h 10m,"$1,493,491,858 ",United States,Joseph Kosinski,Action,8.2
Downfall,2004,R,2h 36m,"$92,181,574 ",Germany,Oliver Hirschbiegel,Biography,8.2
Dangal,2016,Not Rated,2h 41m,"$303,723,636 ",India,Nitesh Tiwari,Action,8.2
For a Few Dollars More,1965,R,2h 12m,,Italy,Sergio Leone,Drama,8.2
Batman Begins,2005,PG-13,2h 20m,"$373,672,993 ",United States,Christopher Nolan,Action,8.2
The Kid,1921,Passed,1h 8m,,United States,Charles Chaplin,Comedy,8.2
Some Like It Hot,1959,Passed,2h 1m,,United States,Billy Wilder,Comedy,8.2
The Father,2020,PG-13,1h 37m,,United Kingdom,Florian Zeller,Drama,8.2
All About Eve,1950,Passed,2h 18m,"$151,052 ",United States,Joseph L. Mankiewicz,Drama,8.2
The Wolf of Wall Street,2013,R,3h,"$406,878,233 ",United States,Martin Scorsese,Biography,8.2
Green Book,2018,PG-13,2h 10m,"$321,752,656 ",United States,Peter Farrelly,Biography,8.2
Judgment at Nuremberg,1961,Approved,2h 59m,,United States,Stanley Kramer,Drama,8.2
Ran,1985,R,2h 42m,"$4,164,283 ",Japan,Akira Kurosawa,Action,8.2
Casino,1995,R,2h 58m,"$116,112,375 ",United States,Martin Scorsese,Crime,8.2
The Truman Show,1998,PG,1h 43m,"$264,118,201 ",United States,Peter Weir,Comedy,8.2
Guardians of the Galaxy Vol. 3,2023,PG-13,2h 30m,"$365,641,827 ",United States,James Gunn,Action,8.2
There Will Be Blood,2007,R,2h 38m,"$76,182,388 ",United States,Paul Thomas Anderson,Drama,8.2
Pan's Labyrinth,2006,R,1h 58m,"$83,862,032 ",Mexico,Guillermo del Toro,Drama,8.2
Unforgiven,1992,R,2h 10m,"$159,167,799 ",United States,Clint Eastwood,Drama,8.2
Shutter Island,2010,R,2h 18m,"$294,805,697 ",United States,Martin Scorsese,Mystery,8.2
The Sixth Sense,1999,PG-13,1h 47m,"$672,806,432 ",United States,M. Night Shyamalan,Drama,8.2
Jurassic Park,1993,PG-13,2h 7m,"$1,109,802,321 ",United States,Steven Spielberg,Action,8.2
A Beautiful Mind,2001,PG-13,2h 15m,"$316,791,257 ",United States,Ron Howard,Biography,8.2
Yojimbo,1961,Not Rated,1h 50m,,Japan,Akira Kurosawa,Action,8.1
The Treasure of the Sierra Madre,1948,Passed,2h 6m,"$5,014,000 ",United States,John Huston,Adventure,8.1
Monty Python and the Holy Grail,1975,PG,1h 31m,"$1,940,906 ",United Kingdom,Terry Gilliam,Adventure,8.1
No Country for Old Men,2007,R,2h 2m,"$171,627,434 ",United States,Ethan Coen,Crime,8.1
Kill Bill: Vol. 1,2003,R,1h 51m,"$180,906,076 ",United States,Quentin Tarantino,Action,8.1
The Great Escape,1963,Approved,2h 52m,,United States,John Sturges,Adventure,8.1
Rashomon,1950,Not Rated,1h 28m,"$81,379 ",Japan,Akira Kurosawa,Crime,8.1
The Thing,1982,R,1h 49m,"$19,632,715 ",United States,John Carpenter,Horror,8.1
Finding Nemo,2003,G,1h 40m,"$941,637,960 ",United States,Andrew Stanton,Animation,8.1
Spider-Man: No Way Home,2021,PG-13,2h 28m,"$1,921,847,111 ",United States,Jon Watts,Action,8.1
The Elephant Man,1980,PG,2h 4m,,United States,David Lynch,Biography,8.1
Chinatown,1974,R,2h 10m,,United States,Roman Polanski,Drama,8.1
Raging Bull,1980,R,2h 9m,"$23,403,912 ",United States,Martin Scorsese,Biography,8.1
V for Vendetta,2005,R,2h 12m,"$134,686,457 ",United States,James McTeigue,Action,8.1
Gone with the Wind,1939,Passed,3h 58m,"$402,382,193 ",United States,Victor Fleming,Drama,8.1
Dial M for Murder,1954,PG,1h 45m,"$42,915 ",United States,Alfred Hitchcock,Crime,8.1
"Lock, Stock and Two Smoking Barrels",1998,R,1h 47m,"$3,753,929 ",United Kingdom,Guy Ritchie,Action,8.1
Inside Out,2015,PG,1h 35m,"$858,848,019 ",United States,Pete Docter,Animation,8.1
Howl's Moving Castle,2004,PG,1h 59m,"$237,536,126 ",Japan,Hayao Miyazaki,Animation,8.1
The Secret in Their Eyes,2009,R,2h 9m,"$35,079,650 ",Argentina,Juan José Campanella,Drama,8.1
"Three Billboards Outside Ebbing, Missouri",2017,R,1h 55m,"$162,861,289 ",United Kingdom,Martin McDonagh,Comedy,8.1
Trainspotting,1996,R,1h 33m,"$16,767,475 ",United Kingdom,Danny Boyle,Drama,8.1
The Bridge on the River Kwai,1957,PG,2h 41m,,United Kingdom,David Lean,Adventure,8.1
Prisoners,2013,R,2h 33m,"$122,126,687 ",United States,Denis Villeneuve,Crime,8.1
Fargo,1996,R,1h 38m,"$60,611,975 ",United States,Joel Coen,Crime,8.1
Warrior,2011,PG-13,2h 20m,"$23,308,615 ",United States,Gavin O'Connor,Action,8.1
Gran Torino,2008,R,1h 56m,"$269,958,228 ",Germany,Clint Eastwood,Drama,8.1
Catch Me If You Can,2002,PG-13,2h 21m,"$352,114,312 ",United States,Steven Spielberg,Biography,8.1
My Neighbor Totoro,1988,G,1h 26m,"$30,574,632 ",Japan,Hayao Miyazaki,Animation,8.1
Million Dollar Baby,2004,PG-13,2h 12m,"$216,763,646 ",United States,Clint Eastwood,Drama,8.1
Children of Heaven,1997,PG,1h 29m,"$933,933 ",Iran,Majid Majidi,Drama,8.1
Blade Runner,1982,R,1h 57m,"$41,722,424 ",United States,Ridley Scott,Action,8.1
The Gold Rush,1925,Passed,1h 35m,,United States,Charles Chaplin,Adventure,8.1
Klaus,2019,PG,1h 36m,,Spain,Sergio Pablos,Animation,8.1
Harry Potter and the Deathly Hallows: Part 2,2011,PG-13,2h 10m,"$1,342,359,942 ",United Kingdom,David Yates,Adventure,8.1
Before Sunrise,1995,R,1h 41m,"$5,987,386 ",United States,Richard Linklater,Drama,8.1
12 Years a Slave,2013,R,2h 14m,"$187,733,202 ",United States,Steve McQueen,Biography,8.1
Ben-Hur,1959,G,3h 32m,"$74,437,720 ",United States,William Wyler,Adventure,8.1
The Grand Budapest Hotel,2014,R,1h 39m,"$173,082,189 ",United States,Wes Anderson,Adventure,8.1
On the Waterfront,1954,Approved,1h 48m,,United States,Elia Kazan,Crime,8.1
Gone Girl,2014,R,2h 29m,"$369,330,363 ",United States,David Fincher,Drama,8.1
Wild Strawberries,1957,Not Rated,1h 31m,,Sweden,Ingmar Bergman,Drama,8.1
The General,1926,Passed,1h 7m,,United States,Clyde Bruckman,Action,8.1
Barry Lyndon,1975,PG,3h 5m,,United Kingdom,Stanley Kubrick,Adventure,8.1
In the Name of the Father,1993,R,2h 13m,"$65,796,862 ",Ireland,Jim Sheridan,Biography,8.1
The Deer Hunter,1978,R,3h 3m,,United States,Michael Cimino,Drama,8.1
Hacksaw Ridge,2016,R,2h 19m,"$180,563,636 ",Australia,Mel Gibson,Biography,8.1
The Third Man,1949,Approved,1h 33m,,United Kingdom,Carol Reed,Film-Noir,8.1
The Wages of Fear,1953,Not Rated,2h 11m,,France,Henri-Georges Clouzot,Adventure,8.1
Memories of Murder,2003,Not Rated,2h 12m,"$1,181,086 ",South Korea,Bong Joon Ho,Crime,8.1
Wild Tales,2014,R,2h 2m,"$31,478,893 ",Argentina,Damián Szifron,Comedy,8.1
Sherlock Jr.,1924,Passed,45m,,United States,Buster Keaton,Action,8.1
John Wick: Chapter 4,2023,R,2h 49m,"$406,810,486 ",United States,Chad Stahelski,Action,8.1
Mr. Smith Goes to Washington,1939,Passed,2h 9m,"$144,738 ",United States,Frank Capra,Comedy,8.1
Mad Max: Fury Road,2015,R,2h,"$415,261,382 ",Australia,George Miller,Action,8.1
Mary and Max,2009,Not Rated,1h 32m,,Australia,Adam Elliot,Animation,8.1
How to Train Your Dragon,2010,PG,1h 38m,"$494,879,471 ",United States,Dean DeBlois,Animation,8.1
Dead Poets Society,1989,PG,2h 8m,"$235,860,116 ",United States,Peter Weir,Comedy,8.1
The Seventh Seal,1957,Not Rated,1h 36m,,Sweden,Ingmar Bergman,Drama,8.1
"Monsters, Inc.",2001,G,1h 32m,"$579,707,738 ",United States,Pete Docter,Animation,8.1
Jaws,1975,PG,2h 4m,"$476,512,065 ",United States,Steven Spielberg,Adventure,8.1
Room,2015,R,1h 58m,"$35,401,758 ",Ireland,Lenny Abrahamson,Drama,8.1
The Big Lebowski,1998,R,1h 57m,"$47,014,464 ",United States,Joel Coen,Comedy,8.1
Tokyo Story,1953,Not Rated,2h 16m,,Japan,Yasujirô Ozu,Drama,8.1
Ford v Ferrari,2019,PG-13,2h 32m,"$225,508,210 ",United States,James Mangold,Action,8.1
The Passion of Joan of Arc,1928,Passed,1h 54m,,France,Carl Theodor Dreyer,Biography,8.1
Hotel Rwanda,2004,PG-13,2h 1m,"$33,882,243 ",United Kingdom,Terry George,Biography,8
Rocky,1976,PG,2h,,United States,John G. Avildsen,Drama,8
Ratatouille,2007,G,1h 51m,"$623,726,085 ",United States,Brad Bird,Animation,8
Platoon,1986,R,2h,"$138,545,632 ",United States,Oliver Stone,Drama,8
